species;ID;CerebellarVol;CerebralVol;n;CC
Tupaia_glis;102;376;1873;20;20,0747464
Tupaia_minor;104;308;1449;2;21,25603865
Urogale_everetti;106;513;2428;1;21,12850082
Cheirogaleus_major;111;947;4314;2;21,95178489
Cheirogaleus_medius;112;437;1941;2;22,51416795
Microcebus_marinus;114;234;1129;6;20,72630647
Lepilemur_ruficaudatus;117;1165;4708;3;24,7451147
Lemur_fulvus;118;3328;15566;3;21,37993062
Lemur_variegatus;124;4286;20461;1;20,94716778
Avahi_l_laniger;130;1489;6550;2;22,73282443
Avahi_l_occidentalis;131;1383;6026;2;22,95054763
Propithecus_verreauxi;132;3957;17040;2;23,22183099
Indri_indri;133;5504;25551;2;21,54123126
Daubentonia_madagascarsciencis;136;6461;30196;1;21,39687376
Loris_tardrigradus;137;728;4551;1;15,99648429
Nycticebus_coucang;138;1310;8495;2;15,42083579
Perodicticus_potto;139;1699;9418;2;18,03992355
Galago_crassicaudatus;141;1414;6545;2;21,60427807
Galago_demidovii;142;413;2240;2;18,4375
Galago_selegalensis;143;672;2997;1;22,42242242
Tarsius sp.;147;428;2258;2;18,95482728
Callithrix_jacchus;151;757;5318;4;14,23467469
Cebuella_pygmaea;156;469;3099;2;15,13391417
Saguinus_oedipus;164;984;7052;3;13,95348837
Saguinus_tamarin;165;1061;7055;2;15,03897945
Callimico_goeldii;166;1240;7733;1;16,03517393
Aotus_trivirgatus;171;1873;12128;5;15,44360158
Callicebus_moloch;172;1622;13465;2;12,0460453
Pitchecia_monacha;174;3908;24920;2;15,68218299
Alouatta sp.;179;5699;37388;2;15,24285867
Ateles_geoffroyi;184;12438;79946;1;15,55800165
Lagothrix_lagothrica;186;11268;74822;3;15,05974179
Cebus sp.;191;7871;52113;2;15,10371692
Saimiri_sciureus;192;2260;17635;1;12,81542387
Macaca_mulatta;202;8965;71080;1;12,61254924
Cercocebus_albigena;209;10726;77049;1;13,9210113
Papio_anubis;212;18683;154987;2;12,05455941
Cercopithecus_mitis;227;6758;56277;1;12,00845816
Cercopithecus_ascan.;231;5828;51279;1;11,36527623
Cercopithecus_talap.;232;3374;30166;2;11,18477756
Erythrocebus_patas;234;8738;84770;2;10,30789194
Pygathrix_nemaeus;242;8063;56189;1;14,34978377
Nasalis_larvatus;243;12113;70873;1;17,09113485
Colobus_badius;246;8648;57885;2;14,93996718
Hylobates_lar;271;12078;76001;1;15,89189616
Pan_troglodytes_troglodytes;277;43663;313493;1;13,9279027
Gorilla_gorilla_gorilla;279;69249;369878;1;18,72211919
Homo_sapiens;280;137421;1063399;1;12,92280696
